logFC	AveExpr	t	P.Value	adj.P.Val	B	log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3
CAGL0G06402g	-2.087	-0.736666666666667	-15.2277681062497	2.39872762596866e-07	1.26687439462242e-05	7.65533344538066	0.278	0.435	0.2075	-1.7535	-1.5565	-2.0305
CAGL0L03135g	1.91616666666667	-0.0269166666666667	15.1453028655339	2.50554191512739e-07	1.28924373180095e-05	7.60917335634527	-0.9665	-1.0685	-0.92	0.8445	1.1785	0.7705
CAGL0F07953g	4.55116666666667	-1.00525	15.1352098619443	2.51897600175629e-07	1.28924373180095e-05	7.60350601345483	-3.5315	-3.2795	-3.0315	1.579	1.7335	0.4985
CAGL0H00847g	-1.6485	-0.0604166666666667	-15.119302269608	2.54031310039064e-07	1.28924373180095e-05	7.59456581224967	0.773	0.853	0.6655	-0.802	-1.042	-0.81
CAGL0G03289g	3.79666666666667	-0.0535	15.11823978572	2.54174540136436e-07	1.28924373180095e-05	7.59396834273456	-1.939	-1.956	-1.9605	1.9015	2.402	1.231
CAGL0H07579g	-2.00833333333333	-0.3525	-15.0953078044758	2.57288015586576e-07	1.29143527112642e-05	7.58106240591246	0.6605	0.706	0.5885	-1.3905	-1.583	-1.0965
CAGL0K11858g	1.86666666666667	0.293666666666667	15.0781288150592	2.59648317247749e-07	1.29143527112642e-05	7.57138099722222	-0.5735	-0.53	-0.8155	1.306	1.3305	1.0445
CAGL0E03289g	-1.82616666666667	-0.347083333333333	-15.0547987708795	2.62892554769639e-07	1.29475546564604e-05	7.55821493237224	0.779	0.5055	0.4135	-1.2635	-1.3525	-1.1645
CAGL0G03883g	2.32516666666667	0.26425	15.0371946193242	2.65370532681698e-07	1.29475546564604e-05	7.54826633624151	-0.966	-0.8525	-0.8765	1.183	1.3165	1.781
CAGL0I05522g	1.58633333333333	-0.805666666666667	14.9887841801673	2.72320393250564e-07	1.3161295987006e-05	7.52084649118928	-1.634	-1.474	-1.6885	-0.125	0.079	0.00849999999999999
CAGL0M05665g	2.197	0.121166666666667	14.875831546508	2.89340310811131e-07	1.37592493522448e-05	7.45651508492223	-0.9225	-1.2695	-0.74	1.369	1.1475	1.1425
CAGL0L10868g	-1.79983333333333	-0.299083333333333	-14.862996098731	2.9134841088978e-07	1.37592493522448e-05	7.44917311877448	0.5125	0.5245	0.7655	-1.031	-1.227	-1.339
CAGL0E03938g	-2.43766666666667	-0.525666666666667	-14.834926416992	2.95794360216909e-07	1.37592493522448e-05	7.4330944416648	0.8555	0.842	0.382	-1.905	-1.8355	-1.493
CAGL0G02101g	1.61333333333333	0.143	14.8210236415379	2.98024433051829e-07	1.37592493522448e-05	7.42511923061486	-0.6735	-0.525	-0.7925	0.84	1.019	0.99
CAGL0K00605g	-1.32283333333333	0.275083333333333	-14.8082647515231	3.00087552501265e-07	1.37592493522448e-05	7.41779346939325	0.9705	0.9375	0.9015	-0.3895	-0.429	-0.3405
CAGL0I08019g	1.5205	0.19675	14.7833559505708	3.04161441374471e-07	1.37592493522448e-05	7.40347300321748	-0.576	-0.6825	-0.432	0.932	1.0245	0.9145
CAGL0B01881g	-1.96016666666667	-0.289083333333333	-14.7592903599819	3.08156159603606e-07	1.37592493522448e-05	7.38961389108028	0.9025	0.72	0.4505	-1.176	-1.386	-1.2455
CAGL0F06413g	2.81516666666667	0.04875	14.7438081645971	3.10757050504763e-07	1.37592493522448e-05	7.38068566541074	-1.494	-1.228	-1.3545	1.3145	1.911	1.1435
CAGL0I06050g	3.4815	-1.80341666666667	14.7359304300678	3.12089852475447e-07	1.37592493522448e-05	7.37613908455737	-3.4635	-3.286	-3.883	-0.272	0.4585	-0.3745
CAGL0F02563g	-2.11566666666667	-0.534166666666667	-14.7272585779471	3.13564393411839e-07	1.37592493522448e-05	7.37113131634529	0.4105	0.4525	0.708	-1.563	-1.8415	-1.3715
CAGL0M02607g	-1.60033333333333	-0.470666666666667	-14.7074521051463	3.16961502073348e-07	1.37592493522448e-05	7.35968230831326	0.469	0.1575	0.362	-1.2885	-1.305	-1.219
CAGL0H08261g	1.81416666666667	0.129416666666667	14.7034640448899	3.1765047352433e-07	1.37592493522448e-05	7.35737513369744	-0.849	-0.915	-0.569	1.0335	1.158	0.918
CAGL0L05742g	1.73316666666667	-0.09075	14.6847591880733	3.20904290974724e-07	1.37592493522448e-05	7.34654547208619	-1.079	-0.9065	-0.8865	0.876	0.872	0.5795
CAGL0E06116g	1.93633333333333	-0.229833333333333	14.6768372488777	3.22293562808778e-07	1.37592493522448e-05	7.34195462187403	-1.0935	-1.258	-1.2425	0.694	0.9885	0.5325
CAGL0J07612g	1.596	0.369	14.6281587495735	3.30979172429633e-07	1.40132752095621e-05	7.3136893794916	-0.456	-0.2815	-0.5495	1.071	1.261	1.169
CAGL0K07942g	-1.587	-0.500333333333333	-14.5733943039538	3.4106451146425e-07	1.43219138707488e-05	7.28177567292925	0.453	0.237	0.1895	-1.322	-1.1965	-1.363
CAGL0M11704g	2.9665	0.306416666666667	14.5390123614874	3.47571378500623e-07	1.44764892037292e-05	7.26167740361719	-1.498	-0.807	-1.2255	1.814	1.4765	2.0785
CAGL0K00715g	-1.48566666666667	0.126666666666667	-14.434188105913	3.68280904721568e-07	1.52153473781338e-05	7.20010229094716	0.8525	0.916	0.84	-0.5295	-0.5495	-0.7695
CAGL0G09977g	2.17683333333333	-0.36975	14.4113116120364	3.72981435655964e-07	1.52823725294411e-05	7.18660407149725	-1.3845	-1.3695	-1.6205	0.695	1.0045	0.4565
CAGL0C02035g	-1.6935	-0.28225	-14.3974155514598	3.75869400489865e-07	1.52823725294411e-05	7.17839413332343	0.659	0.3565	0.678	-1.225	-1.09	-1.072
CAGL0K04235g	1.681	0.225	14.3637161555665	3.82977262661852e-07	1.53329639359933e-05	7.15845080822497	-0.5535	-0.633	-0.66	1.007	1.2765	0.913
CAGL0D00264g	1.26733333333333	-0.351333333333333	14.3631421428021	3.83099625962746e-07	1.53329639359933e-05	7.15811069701729	-0.9395	-0.996	-1.0195	0.281	0.299	0.267
CAGL0F00187g	2.35066666666667	0.117666666666667	14.2640706523292	4.04887747331164e-07	1.60793792990508e-05	7.09920249082068	-1.3255	-1.069	-0.7785	1.2555	1.527	1.0965
CAGL0L11154g	1.65616666666667	0.428583333333333	14.2420724730641	4.09911221548827e-07	1.60956812935901e-05	7.08606623204009	-0.5085	-0.3395	-0.3505	1.1725	1.4515	1.146
CAGL0G05247g	1.539	0.3575	14.231941956186	4.12247980684466e-07	1.60956812935901e-05	7.0800098841612	-0.551	-0.4075	-0.2775	1.0605	1.225	1.0955
CAGL0J09196g	1.6865	-0.251416666666667	14.2212783565407	4.14723781134862e-07	1.60956812935901e-05	7.07363014139033	-1.2245	-1.1915	-0.868	0.603	0.6315	0.541
