logFC	AveExpr	t	P.Value	adj.P.Val	B	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0G09064g	1.78316666666667	-2.21641666666667	8.01184729405549	4.2523203407729e-06	0.000226923303185204	4.59777954916769	-3.2525	-2.6385	-3.433	-1.554	-1.444	-0.9765
CAGL0D04444g	1.18716666666667	0.649583333333333	7.99565699486578	4.33969176632186e-06	0.000228283859441915	4.57701375626725	0.1325	0.039	-0.0035	1.1215	1.207	1.401
CAGL0M05775g	-1.165	-0.679166666666667	-7.98975623847466	4.37201183327195e-06	0.000228283859441915	4.56943736526646	-0.1975	-0.019	-0.0735	-1.194	-1.377	-1.214
CAGL0J03916g	-1.7165	-0.491416666666667	-7.98261031570512	4.41149757656639e-06	0.000228283859441915	4.56025646293483	-0.078	0.852	0.3265	-1.517	-1.267	-1.265
CAGL0K06567g	-1.3075	0.0954166666666666	-7.94673263817224	4.61560165852762e-06	0.00023319685685611	4.51406625464161	0.833	0.7645	0.65	-0.28	-0.643	-0.752
CAGL0D00528g	-1.16816666666667	-0.34175	-7.94126488845092	4.64758503964019e-06	0.00023319685685611	4.50701287079624	0.135	0.22	0.372	-0.9615	-0.828	-0.988
CAGL0L08118g	-1.34366666666667	0.145166666666667	-7.93335062210763	4.69430033037689e-06	0.00023319685685611	4.49679691256259	0.638	1.017	0.796	-0.2955	-0.5555	-0.729
CAGL0C01287g	-1.19166666666667	-0.000499999999999973	-7.93152720879388	4.70513445132184e-06	0.00023319685685611	4.49444209648318	0.467	0.7045	0.6145	-0.472	-0.595	-0.722
CAGL0J05852g	1.2725	0.79925	7.926684689028	4.73403730490639e-06	0.00023319685685611	4.48818630093261	-0.0715	0.2485	0.312	1.3025	1.5535	1.4505
CAGL0L00429g	1.26316666666667	-0.134416666666667	7.91129179282729	4.82718040716605e-06	0.000234419309434867	4.46828166039113	-0.5305	-0.8525	-0.915	0.514	0.6025	0.375
CAGL0M00550g	1.18733333333333	0.1445	7.90750885847509	4.85037025182431e-06	0.000234419309434867	4.46338541149288	-0.364	-0.631	-0.3525	0.7075	0.6885	0.8185
CAGL0L08294g	1.26816666666667	0.64725	7.87702243464301	5.04166837765183e-06	0.000241387542978601	4.42386171012941	-0.1795	0.085	0.134	1.1295	1.4745	1.24
CAGL0F00429g	-1.20566666666667	-0.238666666666667	-7.86301785138509	5.13223888615176e-06	0.000243448701979217	4.40566674081603	0.522	0.356	0.2145	-0.703	-0.897	-0.9245
CAGL0J10824g	-1.2165	-0.200583333333333	-7.84897646417538	5.22479855780382e-06	0.000245565532216779	4.38739930331826	0.2025	0.512	0.5085	-0.8625	-0.687	-0.877
CAGL0L09020g	1.27866666666667	0.222	7.84156519010607	5.27437226644805e-06	0.000245641901100121	4.37774748515841	-0.3875	-0.4175	-0.447	0.8395	0.619	1.1255
CAGL0E04884g	1.65533333333333	-0.3945	7.82574817125246	5.38186383564526e-06	0.000246437015665732	4.35712567437378	-1.1755	-1.513	-0.978	0.2455	0.1725	0.8815
CAGL0K09350g	1.16483333333333	-0.695583333333333	7.82386950712859	5.39478611794632e-06	0.000246437015665732	4.35467423334939	-1.277	-1.27	-1.287	-0.0895	-0.286	0.036
CAGL0K06677g	1.27883333333333	-0.0154166666666667	7.80623467812501	5.51771826312725e-06	0.000246437015665732	4.33164116061656	-0.412	-0.653	-0.8995	0.718	0.538	0.616
CAGL0F04411g	1.49866666666667	0.223666666666667	7.80274747069849	5.54238077737143e-06	0.000246437015665732	4.3270818380809	-0.3115	-0.6705	-0.595	0.679	0.8845	1.3555
CAGL0G02409g	-1.38416666666667	0.07575	-7.80094067139593	5.55520535593596e-06	0.000246437015665732	4.32471894957501	0.7685	0.497	1.038	-0.4045	-0.763	-0.6815
CAGL0G07711g	1.22266666666667	-0.222666666666667	7.79450015077076	5.60117892727832e-06	0.000246437015665732	4.31629284418069	-0.789	-0.9165	-0.7965	0.1935	0.6055	0.367
CAGL0I08877g	1.136	0.00166666666666666	7.79074480028065	5.62817310811841e-06	0.000246437015665732	4.31137732087741	-0.54	-0.6855	-0.4735	0.484	0.647	0.578
CAGL0D04708g	1.71266666666667	-0.627166666666667	7.76462383345998	5.81983220336564e-06	0.000252669494727476	4.27713730433105	-1.6565	-1.38	-1.414	-0.332	0.538	0.4815
CAGL0D00264g	-1.22566666666667	-0.3845	-7.73965527382804	6.00957765254736e-06	0.000258714842974791	4.24432719148735	0.151	0.278	0.256	-0.7575	-1.0515	-1.183
CAGL0D03982g	1.2225	-0.0184166666666667	7.71899498128447	6.1715894697325e-06	0.00026347544044533	4.21711859724733	-0.646	-0.459	-0.784	0.5265	0.775	0.477
CAGL0J03762g	1.28883333333333	0.400583333333333	7.71062245941224	6.23856961786605e-06	0.000264133819440725	4.20607694924786	0.01	-0.505	-0.2365	0.974	1.165	0.996
CAGL0K06061g	-1.2005	0.136416666666667	-7.67863957666984	6.50168323738617e-06	0.000271711899973905	4.16381586025198	0.775	0.79	0.645	-0.597	-0.2335	-0.561
CAGL0C03267g	1.53216666666667	-0.80075	7.67603449391648	6.52363140675196e-06	0.000271711899973905	4.16036784624913	-1.833	-1.656	-1.2115	-0.337	0.0115	0.2215
CAGL0C05335g	1.10516666666667	0.351083333333333	7.65311595354583	6.72017497999365e-06	0.000275567822462651	4.12999613081087	-0.216	-0.095	-0.2935	0.861	0.866	0.984
CAGL0C05445g	1.212	0.5205	7.64961885708186	6.75071812604458e-06	0.000275567822462651	4.12535585914855	-0.052	0.105	-0.3095	1.2215	1.1205	1.0375
CAGL0B02970g	1.511	0.605833333333333	7.64655714393706	6.77758064225923e-06	0.000275567822462651	4.12129200851883	-0.1065	-0.227	-0.1155	0.952	1.354	1.778
CAGL0I00792g	-1.7535	-0.15725	-7.59933367945844	7.20671381370877e-06	0.000290708621004961	4.05845936300724	0.7215	0.4835	0.9535	-0.4655	-1.3685	-1.268
CAGL0L10890g	-1.14433333333333	-0.408833333333333	-7.59293237474742	7.26708571812919e-06	0.000290853751046686	4.04992011448271	-0.0305	0.3095	0.211	-0.9935	-0.952	-0.9975
CAGL0I03366g	-1.1365	-0.342416666666667	-7.5665692130745	7.52148356041268e-06	0.000298702017674373	4.01469636049457	0.1395	0.3395	0.1985	-1.051	-0.773	-0.908
CAGL0K07436g	1.20683333333333	0.290083333333333	7.50788039378017	8.12266494145333e-06	0.000320095480731273	3.93595964079701	-0.225	-0.4125	-0.3025	1.1205	0.674	0.886
CAGL0F05863g	1.30016666666667	0.40625	7.49946053152109	8.21304580078803e-06	0.000321186516316314	3.92462693363552	-0.1155	-0.3635	-0.2525	0.838	0.954	1.377
CAGL0A01738g	1.13366666666667	0.719333333333333	7.4847498512922	8.37354458398881e-06	0.000324833438066297	3.90480497486353	0.0785	0.0835	0.2955	1.342	1.1335	1.383
CAGL0G06732g	1.33166666666667	-0.3355	7.47936644925836	8.43311482779963e-06	0.000324833438066297	3.89754404846035	-0.6735	-1.055	-1.2755	0.4695	0.3165	0.205
CAGL0I10406g	1.51183333333333	0.519916666666667	7.4679318575428	8.56115338967188e-06	0.000327304394143948	3.88210897719723	-0.257	-0.232	-0.219	0.9515	1.102	1.774
CAGL0K00110g	1.25483333333333	-0.470416666666667	7.44950565866364	8.77187347015177e-06	0.00033287635398213	3.85720033342393	-1.03	-0.9575	-1.306	-0.052	0.382	0.141
CAGL0G06952g	1.22933333333333	0.314	7.43754325318121	8.91163803466495e-06	0.000335693541555798	3.84100573369037	-0.4145	-0.1355	-0.352	0.683	1.123	0.98
CAGL0I00462g	1.25366666666667	0.606833333333333	7.41919057821387	9.13071214943466e-06	0.000341435316361706	3.81612363634313	0.073	-0.265	0.132	1.073	1.182	1.446
CAGL0J09724g	1.23066666666667	0.109833333333333	7.37520378389558	9.67955834466945e-06	0.000359336068114069	3.75630757143815	-0.498	-0.5825	-0.436	0.4345	0.783	0.958
CAGL0H09834g	1.07233333333333	0.1115	7.35435123804233	9.95197195603713e-06	0.000366791023962433	3.72786201398931	-0.4585	-0.365	-0.4505	0.504	0.703	0.736
CAGL0E04114g	1.201	0.2335	7.32620479273016	1.03327381251855e-05	0.000376898321934687	3.68937565938156	-0.429	-0.554	-0.118	0.8115	0.976	0.7145
CAGL0K11748g	-1.033	0.164	-7.32326847701579	1.0373348310129e-05	0.000376898321934687	3.68535462475924	0.752	0.6795	0.61	-0.3955	-0.3295	-0.3325
CAGL0G01925g	1.16433333333333	0.125666666666667	7.30442769396545	1.06380142678399e-05	0.000383792585170026	3.65952662116233	-0.3975	-0.415	-0.557	0.607	0.559	0.9575
CAGL0A02816g	-1.30266666666667	-0.8505	-7.29618548198491	1.07560570429154e-05	0.000385254283198501	3.64821294706842	-0.0465	-0.007	-0.544	-1.387	-1.4475	-1.671
