log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.1	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.1	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0A01760g	0.0335	0.0605	-0.14	0.114	0.0695	0.1065	-0.287	0.0405	-0.2895	-0.059	-0.1235	-0.162	-0.1965	-0.23	0.138	-0.041	-0.0825
CAGL0A01782g	-1.2075	-0.984	-1.344	1.03	1.084	-0.1125	-1.219	-1.1335	0.00949999999999999	0.2875	0.743	-0.724	-0.645	-0.464	-0.459	-0.923	-0.224
CAGL0A01804g	-1.42	-1.17	-1.8525	0.315	0.5645	-0.818	NA	-1.542	-0.4265	-0.5685	-0.4555	-1.613	-1.8155	-1.7825	-0.606	-0.872	-0.299
CAGL0A01826g	-1.149	-1.422	-1.167	0.656	0.945	0.5055	-0.888	-1.2765	-1.0735	1.7405	1.603	NA	-0.8515	NA	-0.7765	-0.82	-0.827
CAGL0A01848g	0.046	0.2155	-0.135	-0.2375	0.077	-0.1665	-0.2515	-0.0985	-0.175	0.073	-0.2275	0.091	0.0475	0.4945	0.225	0.546	0.075
CAGL0A01870g	-0.4455	-0.548	-0.046	0.4165	0.5795	-0.0245	0.0595	0.06	-0.25	0.5195	0.7245	-0.3575	-0.3385	-0.324	-0.338	-0.427	-0.382
CAGL0A01892g	0.115	0.1415	0.06	0.02	-0.025	0.078	-0.061	-0.1905	0.0935	-0.03	-0.1765	0.096	-0.028	0.25	0.177	-0.0495	0.0995
CAGL0A01914g	-0.223	-0.1975	-0.5005	-0.381	-0.026	-0.29	-0.2585	-0.1205	-0.107	-0.434	-0.6255	-0.729	-0.606	-0.616	-0.099	0.0565	-0.21
CAGL0A01958g	0.6325	0.4975	0.364	-0.7805	-0.657	-0.8485	0.3945	0.442	0.002	-0.521	-0.3635	0.305	0.328	0.262	-0.164	0.123	-0.331
CAGL0A01980g	0.126	0.0825	0.0435	-0.289	-0.2215	-0.4865	-0.1105	0.015	-0.4155	-0.212	0.1035	-0.2175	-0.156	-0.182	0.353	0.743	0.523
CAGL0A02002g	-2.233	-2.279	-1.483	1.2975	1.796	0.4565	0.0535	0.387	-0.7925	1.277	1.7885	-2.2235	-2.4895	-2.345	-0.958	-1.129	-0.4665
CAGL0A02024g	-0.3505	-0.5845	-0.024	0.2725	0.309	-0.0575	0.3205	-0.106	0.2225	0.539	0.6525	-0.3545	-0.2275	-0.2665	0.498	0.036	0.141
CAGL0A02046g	-0.0745	-0.108	0.151	0.722	0.858	0.69	0.097	0.0535	-0.2095	0.993	1.24	0.178	0.2355	0.138	0.1115	0.2045	0.94
CAGL0A02090g	0.3	0.451	0.3725	-1.0085	-1.362	-0.292	0.293	0.362	0.3555	-0.849	-0.8365	NA	0.47	0.512	-0.1845	-0.3535	-0.9795
CAGL0A02112g	0.599	0.773	0.557	-1.237	-1.1295	-0.7275	0.4885	0.707	0.319	-0.6295	-1.0925	0.35	0.326	0.329	-0.223	0.192	-0.1295
CAGL0A02134g	-0.103	-0.0455	-0.135	-0.315	-0.42	-0.3105	-0.1245	-0.177	0.1525	-0.4775	-0.431	0.042	0.005	NA	0.029	-0.0795	-0.1925
CAGL0A02145g	-0.941	-1.1	-0.896	0.1055	0.1915	0.3005	0.3685	0.487	0.0295	1.566	1.114	0.15	-0.098	0.096	-0.1395	-0.0565	-0.045
CAGL0A02189g	0.5275	0.642	0.305	-0.7595	-0.698	-0.2565	0.312	0.3815	0.4375	-0.1585	-0.513	0.3505	0.332	0.303	0.094	0.301	NA
CAGL0A02211g	-1.7915	-1.5685	-2.0985	0.713	0.6645	-0.7455	-1.9115	-1.767	-1.1005	-0.3645	-0.011	-1.8065	-1.912	-1.829	-0.753	-1.24	-0.558
CAGL0A02233g	-1.907	-1.6095	-2.169	0.8735	0.797	-0.5225	-1.964	-1.767	-1.225	-0.324	0.0435	-1.7345	-1.93	-2.012	-0.75	-1.203	-0.784
CAGL0A02255g	0.1225	0.168	0.128	0.2515	0.244	0.1215	-0.0285	-0.1715	-0.118	1.234	1.032	0.6435	0.91	0.516	-0.1015	0.0515	0.4295
CAGL0A02277g	0.177	-0.082	0.293	-0.034	-0.606	0.427	-1.04	-1.404	-1.65	2.277	2.2115	2.101	2.263	2.179	-2.2645	-2.482	-1.891
CAGL0A02299g	-1.372	-1.2625	-0.787	0.8285	0.7255	0.4465	-0.655	-0.4925	-0.914	1.1545	1.525	-1.483	-1.343	-1.3595	0.381	0.274	0.5605
CAGL0A02321g	-0.3305	-0.1245	-0.604	-0.1295	-0.066	0.133	-0.2875	-0.2005	0.2755	1.478	1.289	-0.518	-0.554	-0.67	-1.104	-0.9235	-0.4465
CAGL0A02343g	-0.195	-0.145	-0.03	0.5785	0.5515	1.066	-0.093	0.4605	0.08	0.0155	0.1255	0.0285	0.029	0.0895	-0.1065	-0.212	-0.1695
CAGL0A02365g	0.2165	0.178	0.126	-0.8705	-0.649	-0.786	0.4825	0.543	0.042	-0.434	-0.5825	-0.069	-0.0785	-0.087	-0.3795	0.229	-0.025
CAGL0A02387g	0.0825	0.015	0.027	-0.209	-0.3955	-0.4185	-0.4295	-0.3785	-0.5815	-0.4465	-0.409	-0.012	0.031	0.036	0.016	0.0855	0.0525
CAGL0A02409g	-0.253	-0.249	-0.2275	-0.273	-0.3915	-0.0055	0.0045	-0.0215	0.1155	-0.0805	-0.3	-0.098	-0.023	0.097	-0.0065	1.007	0.579
CAGL0A02431g	-0.2885	-0.0315	0.0715	-0.022	-0.0685	0.2495	-0.0575	0.0475	0.365	0.1	-0.0495	0.087	-0.1025	-0.056	0.3825	1.051	1.2645
CAGL0A02475g	-0.13	-0.189	-0.274	-0.3	-0.2675	-0.184	-0.072	-0.018	0.125	0.02	-0.0945	-0.205	-0.1815	-0.429	0.751	1.447	1.023
CAGL0A02486g	-0.27	-0.131	-0.329	0.1605	0.163	0.1	-0.1295	-0.051	0.309	-0.1075	-0.0075	NA	-0.0625	0.005	-0.0805	-0.35	-0.456
CAGL0A02508g	0.0725	-0.094	0.285	0.312	0.219	0.38	0.1715	-0.1445	-0.1335	0.333	0.3515	0.102	0.1545	0.235	0.291	-0.086	0.4545
CAGL0A02530g	0.155	0.071	0.124	0.207	0.233	0.3845	-0.0255	-0.0895	-0.181	0.4215	0.22	-0.142	-0.1145	-0.086	-0.123	-0.0285	-0.297
CAGL0A02552g	0.116	0.0345	0.2605	0.3055	0.1675	0.3855	0.1675	0.0205	0.1035	0.53	0.3855	-0.206	-0.166	NA	-0.3165	-0.358	-0.276
CAGL0A02574g	0.0745	0.1015	0.4795	-0.096	-0.1	-0.359	0.0815	0.2795	0.6605	-0.5965	-0.758	NA	0.6625	0.922	0.435	1.0055	0.7595
CAGL0A02596g	-0.127	-0.145	-0.0175	-0.2165	-0.237	-0.0645	-0.1095	-0.519	0.2745	-0.3675	-0.4695	0.209	0.354	0.357	0.532	0.309	0.135
CAGL0A02618g	0.0895	-0.105	0.486	0.2715	0.2355	0.28	0.38	0.161	0.026	0.327	0.526	0.052	0.0145	0.089	0.1995	0.018	0.275
CAGL0A02629g	-0.164	-0.045	-0.0715	0.399	0.4505	0.352	-0.1335	0.227	-0.226	0.4195	0.2945	-0.19	-0.356	-0.326	-0.0325	0.3115	0.0255
CAGL0A02651g	-0.314	-0.18	-0.3055	0.4685	0.3025	0.5275	-0.1845	0.037	0.111	0.072	0.133	-0.315	-0.313	-0.211	-0.283	0.153	0.028
CAGL0A02673g	0.5095	0.184	0.393	-0.687	-0.9785	0.352	0.6885	0.1385	1.011	0.05	-0.3955	0.36	0.444	0.3715	0.964	1.4315	1.088
CAGL0A02695g	-0.4295	-0.1765	-0.2045	0.156	-0.031	0.273	-0.266	-0.092	-0.084	0.122	0.1455	NA	-0.482	-0.2685	0.1605	0.838	0.634
CAGL0A02706g	-0.2035	-0.0695	-0.008	0.3785	0.4005	0.6585	0.123	0.041	0.3525	0.6115	0.464	0.42	0.2005	0.326	0.4375	1.334	0.287
CAGL0A02728g	0.253	-0.16	0.554	0.3635	0.24	0.5145	0.3545	-0.0435	-0.0385	0.8365	0.5955	0.103	0.0115	-0.256	-0.213	-0.0695	-0.538
CAGL0A02750g	-0.035	-0.0065	0.0435	0.3145	0.304	0.1445	-0.1015	-0.1035	-0.1045	0.2825	0.2495	0.1735	0.0865	0.07	0.1265	0.2245	0.2825
CAGL0A02772g	-0.0725	-0.009	0.0205	-0.461	-0.436	-0.309	0.2185	0.322	-0.1105	0.562	0.7775	-0.194	0.096	0.176	0.0815	-0.268	0.102
CAGL0A02794g	-0.0775	0.3225	0.0045	-0.1055	-0.399	0.0615	0.199	0.7155	0.4965	-0.165	0.1075	-0.47	-0.454	-0.4145	-0.142	0.037	-0.142
CAGL0A02816g	-0.1605	-0.309	0.0985	1.4585	1.2895	1.419	-0.0465	-0.007	-0.544	1.104	1.1705	-0.787	-0.766	-0.5275	-1.387	-1.4475	-1.671
