id	group	colLow	colHigh	shape	size
CAGL0I02134g	F4	red	red	circle	9
CAGL0I02486g	F2	black	firebrick	circle	3
CAGL0I02508g	F4	red	darkgreen	square	9
CAGL0I02530g	F3	red	firebrick	circle	9
CAGL0I02728g	Others	black	firebrick	circle	3
CAGL0I03036g	F1	black	firebrick	circle	3
CAGL0I03080g	F1	black	red	circle	3
CAGL0I03190g	F3	chartreuse	black	circle	3
CAGL0I03234g	F1	darkgreen	darkgreen	circle	9
CAGL0I03366g	F2	black	darkgreen	circle	3
CAGL0I04004g	F4	black	darkgreen	circle	3
CAGL0I04048g	F1	firebrick	firebrick	circle	9
