"";"Name";"Conditions";"logFC";"hovertext"
"272";"CAGL0H00682g";"T10";NA;"CAGL0H00682g - NA"
"273";"CAGL0H00704g";"T10";NA;"CAGL0H00704g - NA"
"274";"CAGL0H00825g";"T10";NA;"CAGL0H00825g - NA"
"275";"CAGL0H02101g";"T10";"1.70778266362501";"CAGL0H02101g - 1.70778266362501"
"276";"CAGL0H02387g";"T10";NA;"CAGL0H02387g - NA"
"277";"CAGL0H02491g";"T10";NA;"CAGL0H02491g - NA"
"278";"CAGL0H02563g";"T10";NA;"CAGL0H02563g - NA"
"279";"CAGL0H02585g";"T10";"-2.16183024516718";"CAGL0H02585g - -2.16183024516718"
"280";"CAGL0H02893g";"T10";NA;"CAGL0H02893g - NA"
"281";"CAGL0H02959g";"T10";NA;"CAGL0H02959g - NA"
"282";"CAGL0H03179g";"T10";NA;"CAGL0H03179g - NA"
"283";"CAGL0H03487g";"T10";NA;"CAGL0H03487g - NA"
"284";"CAGL0H03751g";"T10";NA;"CAGL0H03751g - NA"
"285";"CAGL0H03795g";"T10";"0.68240500230131";"CAGL0H03795g - 0.68240500230131"
"286";"CAGL0H03993g";"T10";"0.0232282920141329";"CAGL0H03993g - 0.0232282920141329"
"287";"CAGL0H04037g";"T10";NA;"CAGL0H04037g - NA"
"288";"CAGL0H04081g";"T10";"-1.29114694120943";"CAGL0H04081g - -1.29114694120943"
"289";"CAGL0H04125g";"T10";"0.505090344556107";"CAGL0H04125g - 0.505090344556107"
"290";"CAGL0H04191g";"T10";"-0.095379442419565";"CAGL0H04191g - -0.095379442419565"
"291";"CAGL0H04851g";"T10";NA;"CAGL0H04851g - NA"
"292";"CAGL0H04939g";"T10";NA;"CAGL0H04939g - NA"
"293";"CAGL0H05137g";"T10";"-0.570198653924418";"CAGL0H05137g - -0.570198653924418"
"294";"CAGL0H05445g";"T10";"-0.367532690355185";"CAGL0H05445g - -0.367532690355185"
"295";"CAGL0H05643g";"T10";"0.24932337108";"CAGL0H05643g - 0.24932337108"
"296";"CAGL0H06545g";"T10";NA;"CAGL0H06545g - NA"
"297";"CAGL0H06699g";"T10";"1.48658563921406";"CAGL0H06699g - 1.48658563921406"
"298";"CAGL0H06787g";"T10";"-0.201513666747699";"CAGL0H06787g - -0.201513666747699"
"299";"CAGL0H07051g";"T10";"0.314530060197328";"CAGL0H07051g - 0.314530060197328"
"300";"CAGL0H07337g";"T10";NA;"CAGL0H07337g - NA"
"301";"CAGL0H07579g";"T10";"-0.316028160846097";"CAGL0H07579g - -0.316028160846097"
"302";"CAGL0H07887g";"T10";"0.0661175002515406";"CAGL0H07887g - 0.0661175002515406"
"303";"CAGL0H08063g";"T10";NA;"CAGL0H08063g - NA"
"304";"CAGL0H08261g";"T10";NA;"CAGL0H08261g - NA"
"305";"CAGL0H08541g";"T10";"1.11084177070618";"CAGL0H08541g - 1.11084177070618"
"306";"CAGL0H08624g";"T10";NA;"CAGL0H08624g - NA"
"307";"CAGL0H08822g";"T10";NA;"CAGL0H08822g - NA"
"308";"CAGL0H08844g";"T10";"0.875510303465376";"CAGL0H08844g - 0.875510303465376"
"309";"CAGL0H09064g";"T10";"-0.141415988366786";"CAGL0H09064g - -0.141415988366786"
"310";"CAGL0H09460g";"T10";"-0.962624131847641";"CAGL0H09460g - -0.962624131847641"
"311";"CAGL0H09592g";"T10";NA;"CAGL0H09592g - NA"
"312";"CAGL0H09614g";"T10";NA;"CAGL0H09614g - NA"
"313";"CAGL0H09944g";"T10";"-4.07464800111715";"CAGL0H09944g - -4.07464800111715"
"314";"CAGL0H09966g";"T10";NA;"CAGL0H09966g - NA"
"315";"CAGL0H10010g";"T10";NA;"CAGL0H10010g - NA"
"316";"CAGL0H10076g";"T10";"-1.5552593068731";"CAGL0H10076g - -1.5552593068731"
"317";"CAGL0H10142g";"T10";"-0.157663306686912";"CAGL0H10142g - -0.157663306686912"
"318";"CAGL0I00286g";"T10";NA;"CAGL0I00286g - NA"
"319";"CAGL0I00462g";"T10";"0.20075677088319";"CAGL0I00462g - 0.20075677088319"
"320";"CAGL0I00528g";"T10";NA;"CAGL0I00528g - NA"
"321";"CAGL0I00550g";"T10";NA;"CAGL0I00550g - NA"
"322";"CAGL0I00748g";"T10";"1.66198691753321";"CAGL0I00748g - 1.66198691753321"
"323";"CAGL0I00792g";"T10";"0.624855229872321";"CAGL0I00792g - 0.624855229872321"
"324";"CAGL0I00814g";"T10";"-0.031559991484587";"CAGL0I00814g - -0.031559991484587"
"325";"CAGL0I01100g";"T10";"0.271101508322939";"CAGL0I01100g - 0.271101508322939"
"326";"CAGL0I01166g";"T10";"0.118915873024072";"CAGL0I01166g - 0.118915873024072"
"327";"CAGL0I01276g";"T10";"-0.308298048697562";"CAGL0I01276g - -0.308298048697562"
"328";"CAGL0I01298g";"T10";"0.606862284111319";"CAGL0I01298g - 0.606862284111319"
